"indicator_name","profile","domain","indicator_definition","data_source","inclusion_rationale","diagnostic_code_position","numerator","denominator","type_definition","type_id","disclosure_control","supression","supress_less_than","rounding","age_group","sex","year_type","trends_from","aggregation","update_frequency","available_geographies","confidence_interval_method","notes_caveats","related_publications","supporting_information","last_updated","next_update","interpretation","interpret","source_details","scotpho_profiles","profile_domain1","profile_domain2","profile_domain3","label_inequality","pop_group_splits","profile_domain","scotpho_web_link"
"Adults feeling they belong to their local neighbourhood","Mental Health (Adults)","Community determinants","Percentage of adults (16+ years) who feel that they belong very or fairly strongly to their immediate neighbourhood. Respondents were asked to think about the neighbourhood they live in, and asked ""How strongly do you feel you belong to your immediate neighbourhood?"". The four options given ranged from ""very strongly"" to ""not at all strongly"". The variable was commbel. ","Scottish Household Survey",NA,"N/A","Number of respondents who answered ""very strongly"" or ""fairly strongly"".","Total number of respondents answering the question (including those answering ""don't know"").","Percentage","%","None","N",0,"None","16+","Male, Female, All","Survey year","2012 to 2023","Single years","Annual","Council area, Health board, Scotland","Calculated by SHoS team","Data for 2020 and 2021 are not included in the timeseries as they are not comparable with other years due to changes in the mode and delivery of the survey for those years because of the pandemic.","[Scottish Household Survey](https://www.gov.scot/collections/scottish-household-survey/)",NA,"Sep-2024","Jun-2026","Higher numbers are better","H","Scottish Household Survey",1,"MEN-Community determinants",NA,NA,"Adults",NA,"MEN-Community determinants;",NA
"Adults rating neighbourhood as a very good place to live","Mental Health (Adults)","Structural determinants","Percentage of adults (16+ years) who rate their neighbourhood as a very good place to live. Based on Question RB1 ""Thinking about the neighbourhood you live in, how would you rate it as a place to live?"". The term 'Neighbourhood' is undefined in the questionnaire and left up to the interviewee to define it. If however the interviewer is pushed they are instructed to define 'Neighbourhood' as ""the street you live in and the streets nearby"" for 'urban' and ""the local area"" for 'rural'. Possible responses were 'very poor', 'fairly poor', 'fairly good', or 'very good'.","Scottish Household Survey",NA,"N/A","Number of respondents who answered 'very good'.","Total number of respondents answering the question.","Percentage","%","None","N",0,"None","16+","Male, Female, All","Survey year","1999/2000 to 2023","Single years, with 2-year aggregates at the start of the time series","Annual","Council area, Health board, Scotland","Calculated by SHoS team","Data for 2020 and 2021 are not included in the timeseries as they are not comparable with other years due to changes in the mode and delivery of the survey for those years because of the pandemic.","[Scottish Household Survey](https://www.gov.scot/collections/scottish-household-survey/)",NA,"Sep-2024","Jun-2026","Higher numbers are better","H","Scottish Household Survey",3,"MEN-Structural determinants","HWB-Environment","CWB-Healthy places","Adults",NA,"MEN-Structural determinants;HWB-Environment;CWB-Healthy places",NA
"Adults trusting most people in their neighbourhood","Mental Health (Adults)","Community determinants","Percentage of adults (16+ years) who trust most people in their neighbourhood. Respondents were asked ""To what extent do you agree or disagree with each of the following statements about your neighbourhood: This is a neighbourhood where most people can be trusted."" and given five response options from ""strongly agree"" to ""strongly disagree"". The variable is social3_02.  The indicator is the percentage answering ""Strongly agree"" or ""Tend to agree"".","Scottish Household Survey",NA,"N/A","Number of respondents responding ""strongly agree"" or ""tend to agree"".","Total number of respondents answering the question (including those answering ""don't know"").","Percentage","%","None","N",0,"None","16+","Male, Female, All","Survey year","2018 to 2023","Single years","Annual","Council area, Health board, Scotland","Calculated by SHoS team","Data for 2020 and 2021 are not included in the timeseries as they are not comparable with other years due to changes in the mode and delivery of the survey for those years because of the pandemic.","[Scottish Household Survey](https://www.gov.scot/collections/scottish-household-survey/)",NA,"Sep-2024","Jun-2026","Higher numbers are better","H","Scottish Household Survey",1,"MEN-Community determinants",NA,NA,"Adults",NA,"MEN-Community determinants;;",NA
"Adults regularly using or passing through local open space","Mental Health (Adults)","Structural determinants","Percentage of adults (16+ years) who use or pass through a public green, blue, or open space in their local area every day or several times a week (within a five minute walk). Respondents were asked how far away from their home was the nearest public green, blue or open space (not including private garden space), and subsequently asked ""How often, if at all, do you use this space, even if just to pass through it?"". The seven possible responses ranged from ""every day"" to ""not at all"". The indicator is the percentage responding ""every day"" or ""several times a week"".  The variable was greenuse13.","Scottish Household Survey",NA,"N/A","Number of respondents who answered ""every day or ""several times a week"".","Total number of respondents answering the question (including those answering ""don't know"").","Percentage","%","None","N",0,"None","16+","Male, Female, All","Survey year","2013 to 2023","Single years","Biennial","Council area, Health board, Scotland","Calculated by SHoS team","Data for 2020 and 2021 are not included in the timeseries as they are not comparable with other years due to changes in the mode and delivery of the survey for those years because of the pandemic.","[Scottish Household Survey](https://www.gov.scot/collections/scottish-household-survey/)",NA,"Sep-2024","Jun-2026","Higher numbers are better","H","Scottish Household Survey",1,"MEN-Structural determinants",NA,NA,"Adults",NA,"MEN-Structural determinants;CWB-Environmental sustainability and health equity;",NA
"Adults volunteering in past year","Mental Health (Adults)","Community determinants","Percentage of adults (16+ years) who have given any unpaid help to any groups, clubs or organisations in the last 12 months. Respondents were asked  ""Thinking back over the last 12 months, have you given up any time to help any groups, clubs, or organisations in an unpaid capacity?"" (yes or no). They were subsequently prompted with a list of 15 groups, clubs and organisations (see page 44 of the [survey questionnaire](https://doc.ukdataservice.ac.uk/doc/9294/mrdoc/pdf/9294_shs2022_random_adult_questionnaire.pdf)). The variables used were called voluntee or volunteer.","Scottish Household Survey",NA,"N/A","Number of respondents responding ""yes"".","Total number of respondents answering the question.","Percentage","%","None","N",0,"None","16+","Male, Female, All","Survey year","2005/06 to 2023","Single years, with 2-year aggregates at the start of the time series","Annual","Council area, Health board, Scotland","Calculated by SHoS team","Data for 2020 and 2021 are not included in the timeseries as they are not comparable with other years due to changes in the mode and delivery of the survey for those years because of the pandemic.","[Scottish Household Survey](https://www.gov.scot/collections/scottish-household-survey/)",NA,"Sep-2024","Jun-2026","Higher numbers are better","H","Scottish Household Survey",1,"MEN-Community determinants",NA,NA,"Adults",NA,"MEN-Community determinants;",NA
"Adults feeling lonely in past week","Mental Health (Adults)","Community determinants","Percentage of adults (16+ years) who reported feeling lonely some, most, almost all, or all of the time, in the last week. The variable used was social2. Respondents were asked ""How much of the time during the past week have you felt lonely?"" and given four response options from ""none or almost none of the time"" to ""all or almost all of the time"". The indicator is the percentage responding some, most, almost all, or all of the time. ","Scottish Household Survey",NA,"N/A","Number of respondents responding ""some of the time"", ""most of the time"", or ""all or almost all of the time"".","Total number of respondents answering the question (including those answering ""don't know"").","Percentage","%","None","N",0,"None","16+","Male, Female, All","Survey year","2018 to 2022","Single years","Annual","Council area, Health board, Scotland","Calculated by SHoS team","Data for 2020 and 2021 are not included in the timeseries as they are not comparable with other years due to changes in the mode and delivery of the survey for those years because of the pandemic.","[Scottish Household Survey](https://www.gov.scot/collections/scottish-household-survey/)",NA,"Sep-2024","Jun-2026","Higher numbers are worse","L","Scottish Household Survey",1,"MEN-Community determinants","CWB-Healthy places",NA,"Adults",NA,"MEN-Community determinants;CWB-Healthy places;",NA
"Adults experiencing noisy neighbours in past year","Mental Health (Adults)","Structural determinants","Percentage of adults (16+ years) who experienced noisy neighbours or regular loud parties in their neighbourhood in the last 12 months. Respondents were asked ""Which of these have you personally experienced in this neighbourhood in the past 12 months?"" and given a list of nine antisocial behaviours (variable asb2)(see page 10 of the [survey questionnaire](https://doc.ukdataservice.ac.uk/doc/9294/mrdoc/pdf/9294_shs2022_random_adult_questionnaire.pdf)). The indicator is the percentage selecting ""noisy neighbours or regular loud parties"" from the options. ","Scottish Household Survey",NA,"N/A","Number of respondents who answered ""noisy neighbours or regular loud parties"".","Total number of respondents answering the question.","Percentage","%","None","N",0,"None","16+","Male, Female, All","Survey year","2005/06 to 2023","Single years, with 2-year aggregates at the start of the time series","Biennial","Council area, Health board, Scotland","Calculated by SHoS team","Data for 2020 and 2021 are not included in the timeseries as they are not comparable with other years due to changes in the mode and delivery of the survey for those years because of the pandemic.","[Scottish Household Survey](https://www.gov.scot/collections/scottish-household-survey/)",NA,"Sep-2024","Jun-2026","Higher numbers are worse","L","Scottish Household Survey",1,"MEN-Structural determinants",NA,NA,"Adults",NA,"MEN-Structural determinants;;",NA
"Adults using high-risk loans in past year","Mental Health (Adults)","Structural determinants","Percentage of adults (16+ years) or their partners who have used a cash loan from a company that comes to the home to collect payments, a loan from a pawnbroker/cash converters or a loan from a pay day lender in the past year. Respondents were asked ""have you or your partner used any of the following for credit in the past 12 months? Exclude any mortgage or any loans secured on your property."" Fourteen options were given (see page 121 of [survey questionnaire](https://doc.ukdataservice.ac.uk/doc/8775/mrdoc/pdf/8775_shs2019_questionnaire.pdf). The indicator is the percentage that responded with any of ""cash loan from a company that comes to your home to collect payments"" (variable credit309d), ""loan from a pawnbroker/cash converters"" (variable credit309e), or ""a loan from a pay day lender"" (variable credit 309l). ","Scottish Household Survey",NA,"N/A","Number of respondents that had used any of the three risky loan types.","Total number of respondents answering the question.","Percentage","%","None","N",0,"None","16+","All","Survey year","2015 to 2023","Single years","Biennial","Scotland","Calculated by SHoS team","Data for 2020 and 2021 are not included in the timeseries as they are not comparable with other years due to changes in the mode and delivery of the survey for those years because of the pandemic.","[Scottish Household Survey](https://www.gov.scot/collections/scottish-household-survey/)",NA,"Sep-2024","Jun-2026","Higher numbers are worse","L","Scottish Household Survey",1,"MEN-Structural determinants",NA,NA,"Adults",NA,"MEN-Structural determinants;;",NA
"Adults thinking they will lose their job in next year","Mental Health (Adults)","Structural determinants","Percentage of adults (16+ years) in employment who think it is very likely or likely that they will lose their job by being sacked, laid off, made redundant or not having their contract renewed, during the next 12 months. Respondents were asked ""I would like you to think about your employment prospects over the next 12 months. Thinking about losing your job by being sacked, laid-off, made redundant or not having your contract renewed, how likely do you think it is that you will lose your job during the next 12 months?"". Four options were provided, from ""very likely"" to ""very unlikely"". The question (jbsec) is asked every two years.","Understanding Society (University of Essex, Institute for Social and Economic Research, via UK Data Service)",NA,"N/A","Number of respondents who answered ""very likely"" or ""likely"".","Total number of respondents answering the question (including those answering ""don't know"").","Percentage","%","None","N",NA,NA,"16+","Male, Female, All","Survey year","2010/11 to 2022/23","Single year","Biennial","Scotland","PHS calculation: Wald method, accouting for clustered survey design.","PHS calculation using raw microdata from UK Data Service. ","https://www.understandingsociety.ac.uk/documentation/mainstage/dataset-documentation/variable/jbsec","[Understanding Society: Waves 1-14, 2009-2023 and Harmonised BHPS: Waves 1-18, 1991-2009](https://beta.ukdataservice.ac.uk/datacatalogue/studies/study?id=6614)","Jan-2025","Jan-2026","Higher numbers are worse","L","Understanding Society (PHS analysis of data from UK Data Service)",1,"MEN-Structural determinants",NA,NA,"Adults","sex","MEN-Structural determinants;;",NA
"Households falling behind with debt or bill payments","Mental Health (Adults)","Structural determinants","Percentage of households that are falling behind with bills or credit commitments and are either making excessive debt repayments or are in arrears on monthly commitments (liquidity problems); or where the household is burdened by high debt levels relative to annual income (solvency problems). The data are from the 'Wealth in Scotland' report (data.gov.scot/wealth). The estimates are based on Scotland data from the Office for National Statistics' Wealth and Assets Survey. The survey is not representative of the whole of the Scottish population because it does not cover regions north of the Caledonian Canal and the Scottish Islands. Breakdowns by sex refer to the sex of the household head (the person with the highest income, or, for equal incomes, the older person). ","Wealth and Assets Survey ",NA,"N/A","Number of households with unmanageable debt.","Total number of households surveyed.","Percentage","%","Already suppressed by data supplier","N",0,"To the nearest 1%","-","Male, Female, All","Survey year","2010-2012 to 2018-2020","3-year aggregate","Biennial","Scotland","PHS calculation: Wald method","The survey does not cover the regions north of the Caledonian Canal and the Scottish islands. It is therefore not representative of the whole of the Scottish population, and especially leaves out some of the most remote areas in Scotland.","[Wealth in Scotland 2006-2020](https://data.gov.scot/wealth/)",NA,"Dec-2023","Jun-2026","Higher numbers are worse","L","Wealth and Assets Survey (Scottish Government analysis)",1,"MEN-Structural determinants",NA,NA,NA,NA,"MEN-Structural determinants;;",NA
"Women smoking during pregnancy","Health & wellbeing, Children & young people, Tobacco","Behaviours, Children & young people - Healthy, Smoking during and post pregnancy","Women with known smoking status at 1st antenatal booking appointment who are recorded as a 'current smoker': 3-year rolling average number and percentage of all women with a known smoking status at first booking (those with a smoking status of 'unknown' have been excluded).","Public Health Scotland (Antenatal Booking Collection (ABC))","Smoking during pregnancy markedly increases the risks of complications, stillbirth, premature delivery, low birth weight and sudden infant death syndrome. Protecting an unborn child from tobacco smoke is one of the most important contributors to giving a child a healthy start in life.","N/A","Total number of pregnancies where women are recorded as a 'current smoker' at first antenatal booking appointment","Total number of women with a known smoking status at first antenatal booking appointment","Percentage","%","None","N",0,"None","All","Females","Calendar year","2020-2022 - 2022-2024","3-year aggregate","Annual","HSC locality, HSC partnership, Council area, Health board, Scotland","Wilson's Score method","These data include all antenatal bookings as opposed to only those which resulted in an SMR02 delivery episode. Please refer to the archived 'Smoking during pregnancy ' indicator for a longer time trend using SMR02 up to 2019/20-2021/22. However, it is important to note that these two indicators are not comparable.","[Antenatal booking in Scotland](https://publichealthscotland.scot/publications/antenatal-booking-in-scotland/)",NA,"May-2025","Apr-2026","Higher numbers are worse","L","Antenatal Booking Collection (ABC)",4,"CYP-Healthy","HWB-Behaviours","CWB-Early years","Women smoking",NA,"CYP-Healthy;HWB-Behaviours;CWB-Early years;CMH-Individual determinants;TOB-Smoking during and post pregnancy","[Maternal smoking section](https://www.scotpho.org.uk/risk-factors/tobacco-use/data/maternal-smoking/)"
"Adults who understand what action they should take to help tackle climate change ","Care & wellbeing","Care & wellbeing - Environmental sustainability & health equity","Percentage of adults who 'strongly agree' or 'tend to agree' with the statement 'I understand what actions people like myself should take to help tackle climate change'","Scottish Household Survey",NA,"N/A","Number of adults who 'strongly agree' or 'tend to agree' with the statement 'I understand what actions people like myself should take to help tackle climate change'  ",NA,"Percentage","%","None","N",0,"Percentages in tables have been rounded to the nearest whole number. Base values have been rounded to the nearest 10.","16+","All","Survey year","2015 to 2022","Single year","Biennial","Scotland, Council areas",NA,NA,"[Environment Statistics from the Scottish Household Survey 2023](https://www.gov.scot/publications/environment-statistics-from-the-scottish-household-survey-2023/pages/attitudes-to-climate-change/)",NA,"Jan-2025","Jan-2026","Higher numbers are better","H","Scottish Household Survey",1,"CWB-Environmental sustainability & health equity",NA,NA,NA,NA,"CWB-Environmental sustainability and health equity; CLI-Climate Attitude;",NA
"Children exposed to domestic abuse","Mental Health: Children and Young People's","Structural determinants","Percentage of those experiencing physical or psychological abuse in last 12 months who both have children living in household and report that children were present (in or around the house or close by) during the most recent incident. The questions used can be found on pages 153-154 of the [survey questionnaire](https://doc.ukdataservice.ac.uk/doc/9290/mrdoc/pdf/9290_questionnaire.pdf).","Scottish Crime and Justice Survey","Exposure to harm","N/A","Number reporting that children were present (in or around the house or close by) during the most recent incident","Total number of adults experiencing physical or psychological abuse in last 12 months who have children living in household","Percentage","%","Already suppressed by data supplier","N",0,"None","0-15 years","All","Survey year","2008/09 to 2018/19-2019/20","Survey year (and 2-survey year aggregated)","Annual","Scotland","Calculated by data provider","SCJS suppresses values if the sample size is under 50.","[Scottish Crime and Justice Survey statistics](https://www.gov.scot/collections/scottish-crime-and-justice-survey/)",NA,"Nov-2024","Dec-2025","Higher numbers are worse","L","Scottish Crime and Justice Survey (Scottish Government analysis)",1,"CMH-Structural determinants",NA,NA,NA,NA,"CMH-Structural determinants;;","[Crime and violence section](https://www.scotpho.org.uk/wider-determinants/crime-and-violence/)"
"Children in dwellings with extensive and/or urgent disrepair to critical elements","Mental Health: Children and Young People's","Structural determinants","Proportion of households with children aged under 16 years old in dwellings with extensive and/or urgent disrepair to critical elements. The variables used were critany, extanyVP, urgany, and any_kids. Disrepair is assessed by a trained surveyor. The disrepair categories are defined on pages 33 and 34 of the survey's [methodology document](https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2025/01/scottish-house-condition-survey-methodology-notes-2023/documents/2023-scottish-house-condition-survey-technical-and-methodological-notes/2023-scottish-house-condition-survey-technical-and-methodological-notes/govscot%3Adocument/Scottish%2BHouse%2BCondition%2BSurvey%2BMethodology%2BNotes%2B2023.pdf).","Scottish House Condition Survey (Scottish Government, via UK Data Service)",NA,"N/A","Number of households surveyed that were identified to have extensive and/or urgent disrepair to critical elements of their dwelling, and that had children under the age of 16 years. ","Total number of households surveyed that had children under the age of 16 years.","Percentage","%","Suppressed when sample <30","N",NA,"None","0-15 years","All","Survey year","2012-2014 to 2017-2019","3-year aggregate","Annual","Scotland, Health board, Council area","PHS calculation: Wald method adjusted for SHCS design effects, as appropriate.","PHS calculation using raw microdata from UK Data Service. ","[Scottish House Condition Survey](https://www.gov.scot/collections/scottish-house-condition-survey/)","More details about the Scottish household conditions survey data can be found on the [UK data service website](https://beta.ukdataservice.ac.uk/datacatalogue/studies/study?id=9189)","Aug-2025","Dec-2026","Higher numbers are worse","L","Scottish House Condition Survey (PHS analysis of data from UK Data Service)",1,"CMH-Structural determinants",NA,NA,NA,"no","CMH-Structural determinants;;",NA
"Children living in households in relative poverty","Mental Health: Children and Young People's","Structural determinants","Percentage of 'dependent children' living in relative poverty (after housing costs). Relative poverty is defined as living in households whose equivalised income is below 60% of UK median income in the same year.","Department for Work and Pensions' Family Resources Survey (Households Below Average Income dataset)","Equality","N/A","Number of dependent children living in relative poverty (after housing costs)","Total number of dependent children","Percentage","%","Already suppressed by data supplier","N",0,"None","0-19 years (16-19 year olds included if in full-time education and living with parent/carer)","All","Survey year","1994/95-1996/97 to 2021/22-2023/24","3-year aggregate","Annual","Scotland","Wald method",NA,NA,NA,"Jul-2025","Jul-2026","Higher numbers are worse","L","Department for Work and Pensions' Family Resources Survey (Households Below Average Income dataset)",1,"CMH-Structural determinants",NA,NA,NA,"Y","CMH-Structural determinants;;","[Income and employment](https://www.scotpho.org.uk/wider-determinants/income-and-employment/key-points/)"
"Children living in households in absolute poverty","Mental Health: Children and Young People's","Structural determinants","Percentage of 'dependent children' living in absolute poverty (after housing costs). Absolute poverty is defined as living in households whose equivalised income is below 60% of the (inflation adjusted) Great Britain median income in 2010/11. ","Department for Work and Pensions' Family Resources Survey (Households Below Average Income dataset)","Poverty and material deprivation","N/A","Number of dependent children living in absolute poverty (after housing costs)","Total number of dependent children","Percentage","%","Already suppressed by data supplier","N",0,"None","0-19 years (16-19 year olds included if in full-time education and living with parent/carer)","All","Survey year","1994/95-1996/97 to 2021/22-2023/24","3-year aggregate","Annual","Scotland","Wald method",NA,NA,NA,"Jul-2025","Jul-2026","Higher numbers are worse","L","Department for Work and Pensions' Family Resources Survey (Households Below Average Income dataset)",1,"CMH-Structural determinants",NA,NA,NA,"Y","CMH-Structural determinants;;","[Income and employment](https://www.scotpho.org.uk/wider-determinants/income-and-employment/key-points/)"
"Children in households with combined material deprivation and low income","Mental Health: Children and Young People's","Structural determinants","Percentage of dependent children in combined material deprivation and low income after housing costs (below 70% of UK median income). This indicator measures living standards of children, and refers to the inability of households to afford basic goods and activities that are seen as necessities in society.","Department for Work and Pensions' Family Resources Survey (Households Below Average Income dataset)","Poverty and material deprivation","N/A","Number of dependent children in combined material deprivation and low income after housing costs (below 70% of UK median income).","Total number of dependent children","Percentage","%","Already suppressed by data supplier","N",0,"None","0-19 years (16-19 year olds included if in full-time education and living with parent/carer)","All","Survey year","2011/12-2013/14 to 2020/21-2022/23","3-y aggregate","Annual","Scotland","Wald method",NA,"statistics.gov.scot","statistics.gov.scot","Jul-2025","Jul-2026","Higher numbers are worse","L","Department for Work and Pensions' Family Resources Survey (Households Below Average Income dataset)",2,"CMH-Structural determinants","CWB-Early years",NA,NA,"Y","CMH-Structural determinants;CWB-Early years",NA
"Children living in persistent poverty","Mental Health: Children and Young People's","Structural determinants","Percentage of 'dependent children living in persistent poverty (after housing costs). Persistent poverty is defined as living in households which have spent three or more years out of any four-year period in relative poverty.","Understanding Society Survey","Poverty and material deprivation","N/A","Number of dependent children living in persistent poverty (after housing costs)","Total number of dependent children","Percentage","%","Already suppressed by data supplier","N",0,"None","0-19 years (16-19 year olds included if in full-time education and living with parent/carer)","All","Survey years","2010-14 to 2019-2023","4-year aggregate of survey years (e.g. 2010-2014 is based on poverty status in 2010-2011, 2011-2012, 2012-2013, and 2013-2014)","Annual","Scotland","None",NA,"[Persistent Poverty in Scotland 2010-2023](https://data.gov.scot/poverty/persistent.html)","[Persistent Poverty in Scotland 2010-2023](https://data.gov.scot/poverty/persistent.html)","Jul-2025","Jul-2026","Higher numbers are worse","L","NPF file from statistics.gov.scot 
https://statistics.gov.scot/resource?uri=http%3A%2F%2Fstatistics.gov.scot%2Fdata%2Fnational-performance-framework",1,"CMH-Structural determinants",NA,NA,NA,NA,"CMH-Structural determinants;;","[Income and employment](https://www.scotpho.org.uk/wider-determinants/income-and-employment/key-points/)"
"Primary school children attaining expected literacy levels","Mental Health: Children and Young People's","Structural determinants","Percentage of P1, P4 and P7 pupils achieving expected Curriculum for Excellence levels in literacy (reading, writing, listening and talking) ","Scottish Government Achievement of Curriculum for Excellence Levels","Social inclusion","N/A","Number of P1, P4 and P7 pupils achieving expected Curriculum for Excellence levels in literacy","Total number of Primary 1, 4 and 7 pupils","Percentage","%","Already suppressed by data supplier","N",0,"None","Primary years 1, 4 and 7","All, Male, Female","School year","2016/17 to 2023/24","Single school year","Annual","Scotland, Health boards, Council areas","None","SIMD is based on pupil's home address.","[Achievement of Curriculum for Excellence (CfE) Levels 2023-24](https://www.gov.scot/collections/school-education-statistics/#achievementofcurriculumforexcellencelevels)",NA,"Dec-2024","Dec-2025","Higher numbers are better","H","SG annual publication",1,"CMH-Structural determinants",NA,NA,NA,"Y","CMH-Structural determinants;;",NA
"Primary school children attaining expected numeracy levels","Mental Health: Children and Young People's","Structural determinants","Percentage of P1, P4 and P7 pupils achieving expected Curriculum for Excellence levels in numeracy","Scottish Government Achievement of Curriculum for Excellence Levels","Social inclusion","N/A","Number of P1, P4 and P7 pupils achieving expected Curriculum for Excellence levels in numeracy","Total number of Primary 1, 4 and 7 pupils","Percentage","%","Already suppressed by data supplier","N",0,"None","Primary years 1, 4 and 7","All, Male, Female","School year","2016/17 to 2023/24","Single school year","Annual","Scotland, Health boards, Council areas","None","SIMD is based on pupil's home address.","[Achievement of Curriculum for Excellence (CfE) Levels 2023-24](https://www.gov.scot/collections/school-education-statistics/#achievementofcurriculumforexcellencelevels)",NA,"Dec-2024","Dec-2025","Higher numbers are better","H","SG annual publication",1,"CMH-Structural determinants",NA,NA,NA,"Y","CMH-Structural determinants;;",NA
"Children living in temporary accommodation","Mental Health: Children and Young People's","Structural determinants","Number of children per 1,000 in temporary accommodation (local authorities have a statutory duty to offer temporary accommodation as part of the homelessness application process, whilst households await assessment decisions)","Scottish Government Homelessness Statistics","Social inclusion","N/A","Number of children in temporary accommodation","Total number of children (0-15 years)","Percentage","%","Already suppressed by data supplier","N",0,"None","0-15 years","All","Snapshot (31 March)","2002 to 2023","Single year","Annual","Scotland, Health board, Council area","Byar's approximation",NA,"[Homelessness statistics](https://www.gov.scot/collections/homelessness-statistics/)",NA,"Dec-2024","Dec-2025","Higher numbers are worse","L","SG annual publication",1,"CMH-Structural determinants",NA,NA,NA,"N","CMH-Structural determinants;;",NA
"Adults agreeing that climate change is an immediate and urgent problem ","Care & wellbeing","Care & wellbeing - Environmental sustainability & health equity","Percentage of adults agreeing with the statement 'Climate change is an immediate and urgent problem'","Scottish Household Survey",NA,"N/A","Number of adults agreeing with the statement 'Climate change is an immediate and urgent problem'",NA,"Percentage","%","None","N",0,"Percentages in tables have been rounded to the nearest whole number. Base values have been rounded to the nearest 10.","16+","All","Survey year","2015 to 2022","Single year","Biennial","Scotland, Council areas",NA,NA,"[Environment Statistics from the Scottish Household Survey 2023](https://www.gov.scot/publications/environment-statistics-from-the-scottish-household-survey-2023/pages/attitudes-to-climate-change/)",NA,"Jan-2025","Jan-2026","Higher numbers are better","H","Scottish Household Survey",1,"CWB-Environmental sustainability & health equity",NA,NA,NA,NA,"CWB-Environmental sustainability and health equity; CLI-Climate Attitude;",NA
"Children with a parent consuming alcohol at hazardous or harmful levels","Mental Health: Children and Young People's","Family and friends","Percentage of children aged 15 years or under with a parent/carer who reports consuming alcohol at hazardous or harmful levels (AUDIT questionnaire score 8+). The AUDIT questionnaire and how to score it can be found [here](https://assets.publishing.service.gov.uk/media/6357a7af8fa8f557d85b7c44/Alcohol-use-disorders-identification-test-AUDIT_for-print.pdf).","Scottish Health Survey","Parental health","N/A","Number of children with a parent/carer with an AUDIT questionnaire score of 8 or more","Total number of children (0-15 years)","Percentage","%","Statistical disclosure control has been applied.","N",NA,"None","0-15 years","All, Male, Female","Survey years","2008-11 to 2017-21","4-year aggregation","Annual","Scotland, Health boards","Wilson's Score method","PHS calculation using raw microdata from UK Data Service. Results are not presented where the unweighted bases are below 30 participants.","[Scottish Health Survey dashboard](https://scotland.shinyapps.io/sg-scottish-health-survey/)","[Scottish health survey publications](https://www.gov.scot/collections/scottish-health-survey/)","Dec-2023","Jun-2026","Higher numbers are worse","L","Scottish Health Survey (PHS analysis of data from UK Data Service)",1,"CMH-Family and friends",NA,NA,"Children",NA,"CMH-Family and friends;",NA
"Children with a parent with a common mental health problem","Mental Health: Children and Young People's","Family and friends","Percentage of children aged 15 years or under who have a parent/carer who scores 4 or more on the General Health Questionnaire-12 (GHQ-12) (a score of 4 or more indicates a possible mental health problem over the past few weeks). GHQ-12 is a standardised scale which measures mental distress and mental ill-health. There are 12 questions which cover concentration abilities, sleeping patterns, self-esteem, stress, despair, depression, and confidence in the past few weeks (see pages 222-223 of the [survey questionnaire](https://doc.ukdataservice.ac.uk/doc/9390/mrdoc/pdf/9390_shes_2022_questionnaire_documentation.pdf)). For each of the 12 questions one point is given if the participant responded 'more than usual' or 'much more than usual'. Scores are then totalled to create an overall score of zero to twelve. A score of four or more (described as a high GHQ-12 score) is indicative of a potential psychiatric disorder. ","Scottish Health Survey","Parental health","N/A","Number of children who have a parent/carer who scores 4 or more on the General Health Questionnaire-12 (GHQ-12)","Total number of children (0-15 years)","Percentage","%","Statistical disclosure control has been applied.","N",NA,"None","0-15 years","All, Male, Female","Survey years","2008-11 to 2017-21","4-year aggregation","Annual","Scotland, Health boards","Wilson's Score method","PHS calculation using raw microdata from UK Data Service. Results are not presented where the unweighted bases are below 30 participants.","[Scottish Health Survey dashboard](https://scotland.shinyapps.io/sg-scottish-health-survey/)","[Scottish health survey publications](https://www.gov.scot/collections/scottish-health-survey/)","Dec-2023","Jun-2026","Higher numbers are worse","L","Scottish Health Survey (PHS analysis of data from UK Data Service)",1,"CMH-Family and friends",NA,NA,"Children",NA,"CMH-Family and friends;",NA
"Alcohol consumption: Binge drinking (drinking over (6/8) units in a day)",NA,NA,"Percentage of survey respondents binge drinking (drinking over (6 units for female/8 units for males) units in a day ","Scottish Health Survey",NA,"N/A","Survey respondents reporting drinking over 6 units for female or over 8 units for males in a day ",NA,"Percentage","%","Statistical disclosure control has been applied.","N",0,NA,"16+","All, Male, Female","Survey years","2008-2023","4 year aggregate (SIMD based deprivation data annual but for Scotland level only)","Annual","Scotland, NHS Board, Council area",NA,"2020 survey impacted by COVID and data for this year excluded",NA,NA,"Feb-2025","Feb-2026","Higher numbers are worse","L","Scottish Health Survey (PHS analysis of data from UK Data Service)",2,"ALC-Prevalence",NA,NA,"Adults","Y","ALC-Prevalence","[Alcohol section](https://www.scotpho.org.uk/risk-factors/alcohol/introduction/)"
